answer,counts
可以,31817
能,25671
无法确定,24953
有,18176
不能,15221
不可以,13683
是,12558
会,10449
不是,9374
不会,7224
没有,6924
好,5856
要,3677
需要,2894
不好,2608
不要,1818
正常,1736
不需要,1714
不正常,917
算,848
有用,785
不一样,767
不算,735
靠谱,731
严重,602
用,595
属于,562
影响,501
适合,494
好用,477
不用,473
高,465
可靠,431
不严重,412
不一定,407
大,407
不属于,402
不影响,367
不靠谱,364
一样,323
真的,313
不大,284
不高,274
必须,271
行,267
容易,262
支持,261
多,249
合法,244
管用,238
对,238
没用,236
好看,233
不行,227
值得,225
否,219
上,216
难,211
在,206
不适合,204
治,196
假的,196
疼,187
正规,183
不必须,180
不难,179
不对,173
不可靠,173
不容易,170
厉害,165
吃,163
不支持,161
配,157
不合法,157
犯法,153
含,148
收费,147
招,147
喜欢,146
有效,144
违法,142
传染,141
收,139
同意,138
能 ,135
上班,130
不准,130
不含,127
不上,126
是的,124
准,124
一定,122
贵,119
不疼,118
包括,114
不多,111
不传染,111
可信,110
不违法,107
不收,105
快,104
饭后,102
免费,95
不治,94
合适,93
减肥,93
便宜,92
不在,91
不上火,91
该,91
怕,89
治疗,89
危险,88
不收费,86
重要,86
限行,85
不要紧,85
够,85
有害,82
去,81
要紧,81
碱性,80
不贵,79
应该,78
不免费,78
死了,78
分,76
没事,76
可,74
值钱,74
不怕,74
不包括,73
免,72
不犯法,72
不配,72
没死,71
正确,71
不可信,71
热,71
知道,71
可以 ,71
不上班,70
有必要,70
开,69
不免,69
给,69
不知道,69
带,67
存在,67
不该,67
不好用,66
让,66
不管用,65
伤,65
上火,64
防水,61
限,60
挣钱,60
能吃,60
痛,59
可能,59
不应该,59
通用,58
好治,58
补,57
饭前,57
不好做,56
限号,56
不吃,56
查,55
交,55
放,55
有关,54
准确,54
不可,54
好考,54
划算,54
没必要,54
不限,53
不通用,52
不危险,52
承认,52
不好看,52
不扣,52
好找,51
公办,51
好养,51
不分,50
打,49
扣,49
结婚了,49
不伤,49
凉性,48
长,48
好做,48
不值得,47
有 ,47
不卡,47
不痛,46
不划算,46
没有用,45
有毒,45
有事,45
加,44
不合适,43
允许,43
阳历,43
不好考,43
不快,43
好学,43
不喜欢,42
酸性,41
无效,41
报销,41
不远,41
不带,40
累,40
不够,40
不热,40
无关,39
不必,39
不可能,39
不正规,39
能用,39
降,39
热水,38
民办,38
费,38
不痛苦,37
够用,37
赔,37
不加,37
开放,37
不,36
限购,36
痛苦,36
冷水,36
强,36
平年,36
没结婚,36
管,35
出来了,35
不值钱,35
不限行,35
不让,34
有影响,34
包含,34
好喝,34
退,33
不便宜,33
下,33
好玩,33
远,33
放假,33
遗传,33
不好治,32
卡,32
晚上,32
防,32
不准确,31
经过,31
做,31
爱,30
不敢,30
免流,30
没,30
可数,30
无法确认,30
无法确定 ,30
费电,29
无害,29
考,29
到,29
不招,29
早上,28
没关系,28
低,28
漂亮,28
受,28
移动,27
敢,27
近,27
不能 ,27
不费,27
不去,27
会 ,27
冷,26
取消了,26
法国,26
安全,26
出了,26
有关系,26
值,26
不存在,26
健康,26
不给,25
不开,25
参加,25
扣分,25
下奶,25
不管,25
聪明,25
闰年,25
合理,24
不费电,24
送,24
不只能,24
方便,24
不可以 ,24
不都是,24
省电,24
穿,24
通,24
不可数,24
冷敷,24
是 ,23
打折,23
难受,23
无毒,23
休息,23
好办,23
是真的,23
不麻烦,23
看,23
卖,23
俄罗斯,23
开门,23
耐用,23
不遗传,22
左手,22
没有 ,22
喝,22
认可,22
不相克,22
只能,22
出,22
真,22
不晚,22
不是真的,22
看不到,21
不合理,21
南方,21
涨,21
会有,21
减,21
不长,21
二本,21
省,21
错,21
不冲突,21
相同,21
不厉害,21
不放,21
不等于,20
不休息,20
防晒,20
买,20
瑞典,20
检查,20
不交,20
包,20
不回,20
不允许,20
凉水,19
不赔,19
211,19
上市了,19
营业,19
变频,19
不能吃,19
烧,19
英格兰,19
不防水,19
没倒闭,19
不好学,19
不减肥,19
倒闭了,19
 能,19
赢了,18
隔离,18
换,18
反应,18
耗电,18
解,18
不受,18
有可能,18
不治疗,18
不包含,18
不冷,18
在一起,18
好过,17
舒服,17
热性,17
活着,17
养胃,17
不承认,17
严格,17
发,17
公立,17
环保,17
不胖,17
不限号,17
干净,17
好 ,17
不健康,16
不到,16
实用,16
小,16
火,16
回,16
不喝,16
 不可以,16
严,16
招聘,16
掉,16
不查,16
过,16
没影响,16
不补,16
巴西,16
不打,16
不防,16
不爱,16
好就业,15
养,15
产,15
不累,15
显示,15
华为,15
不杀,15
文科,15
麻烦,15
生效,15
不靠,15
不差,15
简单,15
不限购,15
不重要,15
日本,15
空调,15
拍,15
罚款,14
不检查,14
不显示,14
克罗地亚,14
可用,14
水,14
辛苦,14
花钱,14
限制,14
互通,14
停,14
真实,14
都要,14
不包,14
不正确,14
不互通,14
冷藏,14
不相同,14
回收,14
来,14
重,14
稳定,14
不稳定,14
不是 ,14
理科,14
招生,14
不经过,14
等于,14
好听,14
杀,14
饭后吃,14
不报销,14
比利时,13
上过,13
不挣钱,13
相克,13
中国,13
不退,13
乌拉圭,13
不扣分,13
来得及,13
取消,13
拿过,13
老虎,13
温水,13
开了,13
不卖,13
刺激,13
穷,13
不确定,13
一起,13
不穿,13
吸热,13
吸,13
禁止,13
共享,13
合格,13
发达,13
风寒,13
合,13
联通,13
走,13
上了,13
演过,13
开始了,12
壮阳,12
不合,12
打得过,12
咬,12
阴历,12
 不能,12
不放假,12
不通,12
保修,12
不发,12
没毒,12
假,12
拆,12
致癌,12
右边,12
本科,12
无,12
京东,12
不解,12
没取消,12
都是,12
不代表,12
认识,12
参加过,12
生吃,12
不显,12
黑,11
一定要,11
不相等,11
痒,11
生产,11
右手,11
不耗电,11
咬人,11
更新,11
热敷,11
要 ,11
不花钱,11
含有,11
相冲,11
阿根廷,11
中药,11
进了,11
都有,11
占,11
没出,11
不坑,11
不免流,11
看得到,11
具有,11
不同,11
完结,11
加盟,11
武汉,11
酸奶,11
自动,11
不拍,11
直播,11
制冷,11
抓,11
没结,11
好了,11
好使,11
美,11
前,11
牛奶,10
不耐用,10
易,10
女孩,10
不穷,10
不烧,10
靠,10
免流量,10
回奶,10
进过,10
科学,10
电信,10
瑞士,10
继续,10
不真实,10
地震了,10
不叫,10
少,10
北方,10
生了,10
一本,10
私立,10
升,10
费油,10
不花,10
防晒霜,10
不降,10
里面,10
补钙,10
不掉,10
高中,10
不恐怖,10
要钱,10
不会 ,10
不好进,10
发烧,10
美白,10
上市,10
男孩,10
不好养,10
进,10
有权,10
男的,10
犯罪,9
不只,9
出来,9
前驱,9
不严,9
不反应,9
不回奶,9
不矮,9
哥伦比亚,9
空腹,9
不难受,9
不都有,9
不易,9
不值,9
盖,9
不痒,9
不出,9
相等,9
耗,9
不缺,9
不免签,9
上海,9
不耐,9
不低,9
去火,9
体检,9
冲突,9
冷冻,9
不开放,9
不可怕,9
不能用,9
理赔,9
苹果,9
凉快,9
可怕,9
凉,9
c罗,9
成功,9
得,9
德国,9
阳性,9
溶,9
淘汰了,9
开花,9
开水,9
开放了,9
恐怖,9
招收,9
改了,9
开发,9
没离婚,9
招人,9
隔离霜,9
帅,9
显,9
 不是,9
没有影响,9
没有必要,9
坑,9
导电,9
梅西,9
韩国,9
打不过,9
右,8
不干净,8
不报,8
参加了,8
过敏,8
符合,8
钢琴,8
修,8
成熟,8
不强,8
辟邪,8
利好,8
合资,8
荣耀10,8
乳胶漆,8
人流,8
不保修,8
慢,8
软的,8
花,8
苦,8
享受,8
像,8
95,8
细菌,8
受理,8
统一,8
违章,8
结婚,8
结了,8
经常,8
奶粉,8
小米,8
好下,8
不合算,8
好卖,8
素颜霜,8
不丢人,8
左边,8
公平,8
免签,8
需,8
白天,8
下火,8
阳虚,8
开通,8
可以吃,8
耐,8
瘦,8
没上市,8
不减,8
不好过,8
饭前吃,8
小米8,8
偏大,8
985,8
害虫,8
好开,8
认,8
不耗,8
学,8
完结了,8
不简单,8
收取,8
犯,8
不具有,8
和,8
有钱,8
去了,8
不停,8
离婚了,8
在一起了,8
不要钱,8
不苦,8
难考,8
不看,8
换了,8
坏,8
单数,8
不相冲,8
不限制,8
解酒,8
铜,8
国产,7
整了,7
国企,7
美国,7
不好办,7
不能喝,7
没进,7
赔偿,7
不好喝,7
开通了,7
不舒服,7
黄,7
风热,7
引起,7
下了,7
计入,7
不好找,7
不考,7
没可能,7
整过,7
 可以,7
bb霜,7
好吃,7
坏人,7
早,7
不直播,7
没得过,7
不下,7
好抽,7
洗的掉,7
相通,7
不吉利,7
牛,7
没有死,7
消炎,7
液体,7
没完结,7
埃及,7
 有,7
结实,7
女,7
不发胖,7
幸福,7
学校,7
催奶,7
变,7
说,7
违反,7
顺产,7
有效果,7
不占,7
92,7
马云,7
承担,7
构成,7
优惠,7
后,7
吃药,7
自动挡,7
丰胸,7
一级,7
转,7
伊朗,7
招工,7
不都会,7
不省,7
交流,7
好走,7
拍过,7
合算,7
不都要,7
复数,7
戴,7
乳液,7
吉利,7
驱,7
忌口,7
得过,7
征信,7
触犯,7
通了,7
不解药,7
硬,7
治得好,7
祛斑,7
掉色,7
胖,7
蒸,7
墨西哥,7
家庭,7
保,7
不小,7
要求,7
不踩,7
不需,7
能喝,7
不近,7
导致,6
室内,6
办理,6
办,6
粉底液,6
不变,6
没通,6
加分,6
短,6
出名,6
祛痘,6
通知,6
医院,6
利,6
不卫生,6
北疆,6
分手了,6
分手,6
通过,6
禁,6
不做,6
不办理,6
北京,6
没问题,6
洗,6
ct,6
地震,6
退役了,6
薄,6
4s店,6
高好,6
打过,6
不换,6
专业,6
专一,6
不长胖,6
来过,6
不锈钢,6
不早,6
西班牙,6
不适用,6
不送,6
不违规,6
不超标,6
不赔偿,6
不来,6
起,6
不比,6
不认,6
有救,6
有区别,6
不溶,6
新历,6
不统一,6
 没有,6
贬义,6
无权,6
不科学,6
中医,6
葡萄牙,6
冷毛巾,6
轩逸,6
不可用,6
面,6
冬眠,6
冬天,6
an,6
农历,6
没害,6
平移,6
不咬,6
a,6
没去世,6
不坑人,6
缺,6
开业了,6
没关,6
强制,6
很好,6
很差,6
不安全,6
信得过,6
保留,6
微创,6
香港,6
忙,6
不归,6
输了,6
自己,6
止咳,6
药流,6
卡罗拉,6
不后悔,6
除,6
涨了,6
爽,6
电脑,6
益虫,6
限速,6
陈醋,6
后悔,6
不买,6
叫,6
生抽,6
除湿,6
阴虚,6
vivo,6
一致,6
男方,6
不一起,6
增加,6
复活了,6
可以·,6
卫生,6
甜,6
灭绝了,6
海尔,6
发胖,6
好进,6
熟吃,6
好申请,6
电,6
去世了,6
直流,5
减少,5
差,5
没整容,5
不拉,5
不找,5
成,5
冰敷,5
没拿过,5
不拆,5
软,5
繁华,5
手,5
红,5
后面,5
睡,5
工作,5
查不出,5
生,5
铂金,5
高铁,5
不方便,5
来了,5
复杂,5
省油,5
褒义词,5
分期,5
不去火,5
装,5
高考,5
没有结婚,5
没有害,5
查得到,5
找到了,5
出血,5
路过,5
不靠窗,5
降火,5
不亏,5
不排,5
不掉色,5
红茶,5
向上,5
适宜,5
凹透镜,5
代表,5
愿意,5
做过,5
建议,5
大米,5
罗纳尔多,5
可行,5
罚,5
羊奶,5
迈腾,5
奔驰,5
没停,5
不奇怪,5
很难,5
美容,5
深,5
顺时针,5
停了,5
停产了,5
当过,5
归,5
下来了,5
联网,5
可以喝,5
金毛,5
耐磨,5
下午,5
头,5
没上,5
上映,5
馒头,5
致,5
结过,5
内科,5
纯牛奶,5
合并了,5
介意,5
西药,5
关机,5
恢复,5
不含有,5
没完,5
男,5
性温,5
公鸡,5
涉及,5
建,5
没好,5
性寒,5
怀孕了,5
大于,5
没去,5
应,5
忌,5
公,5
全款,5
白醋,5
白色,5
右侧,5
没演过,5
不取消,5
头孢,5
硬的,5
不被,5
不要求,5
不理赔,5
塞内加尔,5
锻炼,5
碘伏,5
没跑路,5
碍事,5
没赢,5
不认可,5
去过,5
税前,5
治的好,5
没解散,5
 是,5
稳,5
有用 ,5
寒,5
寒性,5
不讲,5
流畅,5
限额,5
黑色,5
国税,5
收购,5
有助于,5
不能要,5
国家,5
有利,5
不伤胃,5
离了,5
赚,5
不耗油,5
看得见,5
摩洛哥,5
不臭,5
祛,5
看到,5
河南,5
不犯,5
不罚款,5
不玩,5
播,5
煮,5
对外,5
晚,5
参与,5
2,5
不办,5
不费油,5
速腾,5
排,5
博士,5
要用,5
木地板,5
处理,5
卵生,5
酸,5
 会,5
判刑,5
没离,5
接,5
不利于,5
挣,5
铝框,5
爽肤水,5
不省电,5
无影响,5
熟的,5
瓷砖,5
更新了,4
不祛,4
坏的,4
伤胃,4
大学,4
该用,4
不好玩,4
坐,4
能要,4
伤车,4
怀孕,4
大公司,4
男人,4
健在,4
脏,4
会计,4
教,4
不烂,4
地板,4
早好,4
放热,4
催,4
国内,4
明显,4
低好,4
佛教,4
香烟,4
胎生,4
无痛,4
爸爸,4
电视,4
游泳,4
不空腹,4
很重要,4
保鲜,4
余利宝,4
不繁华,4
贬义词,4
信,4
